Log(E/eV)	r [M]	Theta	Synchr	Brems ei
9.36495	8.15771	-4.03391	0	-10.4301
9.56289	8.15771	-3.83597	0	-10.4081
9.76083	8.15771	-3.63804	0	-10.3871
9.95876	8.15771	-3.4401	0	-10.3672
10.1567	8.15771	-3.24216	0	-10.3481
10.3546	8.15771	-3.04422	0	-10.3298
10.5526	8.15771	-2.84628	0	-10.3123
10.7505	8.15771	-2.64835	0	-10.2954
10.9485	8.15771	-2.45041	0	-10.2792
11.1464	8.15771	-2.25247	0	-10.2635
11.3443	8.15771	-2.05453	0	-10.2484
11.5423	8.15771	-1.85659	0	-10.2338
11.7402	8.15771	-1.65865	0	-10.2197
11.9381	8.15771	-1.46072	0	-10.206
12.1361	8.15771	-1.26278	0	-10.1928
12.334	8.15771	-1.06484	0	-10.1799
12.532	8.15771	-0.866902	0	-10.1674
12.7299	8.15771	-0.668964	0	-10.1553
12.9278	8.15771	-0.471025	0	-10.1435
13.1258	8.15771	-0.273087	0	-10.132
13.3237	8.15771	-0.0751491	0	-10.1208
13.5217	8.15771	0.122789	0	-10.1098
13.7196	8.15771	0.320727	0	-10.0992
13.9175	8.15771	0.518665	0	-10.0888
14.1155	8.15771	0.716604	0	-10.0786
14.3134	8.15771	0.914542	0	-10.0687
14.5113	8.15771	1.11248	0	-10.059
14.7093	8.15771	1.31042	0	-10.0495
14.9072	8.15771	1.50836	0	-10.0402
15.1052	8.15771	1.70629	0	-10.0311
15.3031	8.15771	1.90423	0	-10.0222
15.501	8.15771	2.10217	0	-10.0135
15.699	8.15771	2.30011	0	-10.0049
6	5.43847	-8.52943	0.261799	-12.039
6.19794	5.43847	-8.3315	0.261799	-11.8799
6.39588	5.43847	-8.13356	0.261799	-11.7637
6.59381	5.43847	-7.93562	0.261799	-11.6721
6.79175	5.43847	-7.73768	0.261799	-11.5965
6.98969	5.43847	-7.53974	0.261799	-11.5321
7.18763	5.43847	-7.34181	0.261799	-11.4761
7.38557	5.43847	-7.14387	0.261799	-11.4265
7.58351	5.43847	-6.94593	0.261799	-11.3819
7.78144	5.43847	-6.74799	0.261799	-11.3415
7.97938	5.43847	-6.55005	0.261799	-11.3046
8.17732	5.43847	-6.35211	0.261799	-11.2705
8.37526	5.43847	-6.15418	0.261799	-11.2389
8.5732	5.43847	-5.95624	0.261799	-11.2095
8.77113	5.43847	-5.7583	0.261799	-11.1819
8.96907	5.43847	-5.56036	0.261799	-11.156
9.16701	5.43847	-5.36242	0.261799	-11.1316
9.36495	5.43847	-5.16449	0.261799	-11.1084
9.56289	5.43847	-4.96655	0.261799	-11.0864
9.76083	5.43847	-4.76861	0.261799	-11.0655
9.95876	5.43847	-4.57067	0.261799	-11.0455
10.1567	5.43847	-4.37273	0.261799	-11.0264
10.3546	5.43847	-4.17479	0.261799	-11.0082
10.5526	5.43847	-3.97686	0.261799	-10.9906
10.7505	5.43847	-3.77892	0.261799	-10.9738
10.9485	5.43847	-3.58098	0.261799	-10.9575
11.1464	5.43847	-3.38304	0.261799	-10.9419
11.3443	5.43847	-3.1851	0.261799	-10.9268
11.5423	5.43847	-2.98717	0.261799	-10.9122
11.7402	5.43847	-2.78923	0.261799	-10.8981
11.9381	5.43847	-2.59129	0.261799	-10.8844
12.1361	5.43847	-2.39335	0.261799	-10.8711
12.334	5.43847	-2.19541	0.261799	-10.8583
12.532	5.43847	-1.99747	0.261799	-10.8458
12.7299	5.43847	-1.79954	0.261799	-10.8336
12.9278	5.43847	-1.6016	0.261799	-10.8218
13.1258	5.43847	-1.40366	0.261799	-10.8103
13.3237	5.43847	-1.20572	0.261799	-10.7991
13.5217	5.43847	-1.00778	0.261799	-10.7882
13.7196	5.43847	-0.809846	0.261799	-10.7775
13.9175	5.43847	-0.611908	0.261799	-10.7671
14.1155	5.43847	-0.41397	0.261799	-10.757
14.3134	5.43847	-0.216031	0.261799	-10.747
14.5113	5.43847	-0.0180933	0.261799	-10.7373
14.7093	5.43847	0.179845	0.261799	-10.7278
14.9072	5.43847	0.377783	0.261799	-10.7186
15.1052	5.43847	0.575721	0.261799	-10.7095
15.3031	5.43847	0.773659	0.261799	-10.7006
15.501	5.43847	0.971598	0.261799	-10.6918
15.699	5.43847	1.16954	0.261799	-10.6833
6	8.15771	-10.832	0.261799	-13.4205
6.19794	8.15771	-10.634	0.261799	-13.2614
6.39588	8.15771	-10.4361	0.261799	-13.1452
6.59381	8.15771	-10.2382	0.261799	-13.0536
6.79175	8.15771	-10.0402	0.261799	-12.978
6.98969	8.15771	-9.84228	0.261799	-12.9137
7.18763	8.15771	-9.64434	0.261799	-12.8576
7.38557	8.15771	-9.4464	0.261799	-12.808
7.58351	8.15771	-9.24846	0.261799	-12.7634
7.78144	8.15771	-9.05052	0.261799	-12.723
7.97938	8.15771	-8.85259	0.261799	-12.6861
8.17732	8.15771	-8.65465	0.261799	-12.652
8.37526	8.15771	-8.45671	0.261799	-12.6205
8.5732	8.15771	-8.25877	0.261799	-12.591
8.77113	8.15771	-8.06083	0.261799	-12.5635
8.96907	8.15771	-7.86289	0.261799	-12.5375
9.16701	8.15771	-7.66496	0.261799	-12.5131
9.36495	8.15771	-7.46702	0.261799	-12.4899
9.56289	8.15771	-7.26908	0.261799	-12.4679
9.76083	8.15771	-7.07114	0.261799	-12.447
9.95876	8.15771	-6.8732	0.261799	-12.4271
10.1567	8.15771	-6.67527	0.261799	-12.408
10.3546	8.15771	-6.47733	0.261799	-12.3897
10.5526	8.15771	-6.27939	0.261799	-12.3721
10.7505	8.15771	-6.08145	0.261799	-12.3553
10.9485	8.15771	-5.88351	0.261799	-12.339
11.1464	8.15771	-5.68557	0.261799	-12.3234
11.3443	8.15771	-5.48764	0.261799	-12.3083
11.5423	8.15771	-5.2897	0.261799	-12.2937
11.7402	8.15771	-5.09176	0.261799	-12.2796
11.9381	8.15771	-4.89382	0.261799	-12.2659
12.1361	8.15771	-4.69588	0.261799	-12.2527
12.334	8.15771	-4.49795	0.261799	-12.2398
12.532	8.15771	-4.30001	0.261799	-12.2273
12.7299	8.15771	-4.10207	0.261799	-12.2151
12.9278	8.15771	-3.90413	0.261799	-12.2033
13.1258	8.15771	-3.70619	0.261799	-12.1918
13.3237	8.15771	-3.50826	0.261799	-12.1806
13.5217	8.15771	-3.31032	0.261799	-12.1697
13.7196	8.15771	-3.11238	0.261799	-12.159
13.9175	8.15771	-2.91444	0.261799	-12.1486
14.1155	8.15771	-2.7165	0.261799	-12.1385
14.3134	8.15771	-2.51856	0.261799	-12.1286
14.5113	8.15771	-2.32063	0.261799	-12.1189
14.7093	8.15771	-2.12269	0.261799	-12.1094
14.9072	8.15771	-1.92475	0.261799	-12.1001
15.1052	8.15771	-1.72681	0.261799	-12.091
15.3031	8.15771	-1.52887	0.261799	-12.0821
15.501	8.15771	-1.33094	0.261799	-12.0733
15.699	8.15771	-1.133	0.261799	-12.0648
