Log(E/eV)	r [M]	Theta	Synchr
10.8889	8.19568	0	8.02634
12.1111	8.19568	0	9.24856
13.3333	8.19568	0	10.4708
14.5556	8.19568	0	11.693
15.7778	8.19568	0	12.9152
17	8.19568	0	14.1375
6	8.44863	0	4.52744
7.22222	8.44863	0	5.74966
8.44444	8.44863	0	6.97188
9.66667	8.44863	0	8.19411
10.8889	8.44863	0	9.41633
12.1111	8.44863	0	10.6385
13.3333	8.44863	0	11.8608
14.5556	8.44863	0	13.083
15.7778	8.44863	0	14.3052
17	8.44863	0	15.5274
6	8.70158	0	5.60032
7.22222	8.70158	0	6.82254
8.44444	8.70158	0	8.04477
9.66667	8.70158	0	9.26699
10.8889	8.70158	0	10.4892
12.1111	8.70158	0	11.7114
13.3333	8.70158	0	12.9337
14.5556	8.70158	0	14.1559
15.7778	8.70158	0	15.3781
17	8.70158	0	16.6003
6	8.95453	0	6.39512
7.22222	8.95453	0	7.61735
8.44444	8.95453	0	8.83957
9.66667	8.95453	0	10.0618
10.8889	8.95453	0	11.284
12.1111	8.95453	0	12.5062
13.3333	8.95453	0	13.7285
14.5556	8.95453	0	14.9507
15.7778	8.95453	0	16.1729
17	8.95453	0	17.3951
6	9.20749	0	6.94619
7.22222	9.20749	0	8.16841
8.44444	9.20749	0	9.39064
9.66667	9.20749	0	10.6129
10.8889	9.20749	0	11.8351
12.1111	9.20749	0	13.0573
13.3333	9.20749	0	14.2795
14.5556	9.20749	0	15.5017
15.7778	9.20749	0	16.724
17	9.20749	0	17.9462
6	9.46044	0	7.28374
7.22222	9.46044	0	8.50596
8.44444	9.46044	0	9.72818
9.66667	9.46044	0	10.9504
10.8889	9.46044	0	12.1726
12.1111	9.46044	0	13.3949
13.3333	9.46044	0	14.6171
14.5556	9.46044	0	15.8393
15.7778	9.46044	0	17.0615
17	9.46044	0	18.2837
6	9.71339	0	7.43432
7.22222	9.71339	0	8.65654
8.44444	9.71339	0	9.87876
9.66667	9.71339	0	11.101
10.8889	9.71339	0	12.3232
12.1111	9.71339	0	13.5454
13.3333	9.71339	0	14.7676
14.5556	9.71339	0	15.9899
15.7778	9.71339	0	17.2121
17	9.71339	0	18.4343
6	9.96634	0	7.42126
7.22222	9.96634	0	8.64348
8.44444	9.96634	0	9.8657
9.66667	9.96634	0	11.0879
10.8889	9.96634	0	12.3101
12.1111	9.96634	0	13.5324
13.3333	9.96634	0	14.7546
14.5556	9.96634	0	15.9768
15.7778	9.96634	0	17.199
17	9.96634	0	18.4213
6	10.2193	0	7.26507
7.22222	10.2193	0	8.4873
8.44444	10.2193	0	9.70952
9.66667	10.2193	0	10.9317
10.8889	10.2193	0	12.154
12.1111	10.2193	0	13.3762
13.3333	10.2193	0	14.5984
14.5556	10.2193	0	15.8206
15.7778	10.2193	0	17.0429
17	10.2193	0	18.2651
6	10.4722	0	6.98381
7.22222	10.4722	0	8.20603
8.44444	10.4722	0	9.42825
9.66667	10.4722	0	10.6505
10.8889	10.4722	0	11.8727
12.1111	10.4722	0	13.0949
13.3333	10.4722	0	14.3171
14.5556	10.4722	0	15.5394
15.7778	10.4722	0	16.7616
17	10.4722	0	17.9838
6	10.7252	0	6.59334
7.22222	10.7252	0	7.81556
8.44444	10.7252	0	9.03779
9.66667	10.7252	0	10.26
10.8889	10.7252	0	11.4822
12.1111	10.7252	0	12.7045
13.3333	10.7252	0	13.9267
14.5556	10.7252	0	15.1489
15.7778	10.7252	0	16.3711
17	10.7252	0	17.5933
6	10.9782	0	6.10766
7.22222	10.9782	0	7.32988
8.44444	10.9782	0	8.5521
9.66667	10.9782	0	9.77432
10.8889	10.9782	0	10.9965
12.1111	10.9782	0	12.2188
13.3333	10.9782	0	13.441
14.5556	10.9782	0	14.6632
15.7778	10.9782	0	15.8854
17	10.9782	0	17.1077
6	11.2311	0	5.53907
7.22222	11.2311	0	6.76129
8.44444	11.2311	0	7.98352
9.66667	11.2311	0	9.20574
10.8889	11.2311	0	10.428
12.1111	11.2311	0	11.6502
13.3333	11.2311	0	12.8724
14.5556	11.2311	0	14.0946
15.7778	11.2311	0	15.3169
17	11.2311	0	16.5391
6	11.4841	0	4.89846
7.22222	11.4841	0	6.12069
8.44444	11.4841	0	7.34291
9.66667	11.4841	0	8.56513
10.8889	11.4841	0	9.78735
12.1111	11.4841	0	11.0096
13.3333	11.4841	0	12.2318
14.5556	11.4841	0	13.454
15.7778	11.4841	0	14.6762
17	11.4841	0	15.8985
6	11.737	0	4.19543
7.22222	11.737	0	5.41765
8.44444	11.737	0	6.63987
9.66667	11.737	0	7.86209
10.8889	11.737	0	9.08432
12.1111	11.737	0	10.3065
13.3333	11.737	0	11.5288
14.5556	11.737	0	12.751
15.7778	11.737	0	13.9732
17	11.737	0	15.1954
6	11.99	0	3.43844
7.22222	11.99	0	4.66066
8.44444	11.99	0	5.88289
9.66667	11.99	0	7.10511
10.8889	11.99	0	8.32733
12.1111	11.99	0	9.54955
13.3333	11.99	0	10.7718
14.5556	11.99	0	11.994
15.7778	11.99	0	13.2162
17	11.99	0	14.4384
6	12.2429	0	2.635
7.22222	12.2429	0	3.85722
8.44444	12.2429	0	5.07945
9.66667	12.2429	0	6.30167
10.8889	12.2429	0	7.52389
12.1111	12.2429	0	8.74611
13.3333	12.2429	0	9.96833
14.5556	12.2429	0	11.1906
15.7778	12.2429	0	12.4128
17	12.2429	0	13.635
6	12.4959	0	1.79174
7.22222	12.4959	0	3.01396
8.44444	12.4959	0	4.23618
9.66667	12.4959	0	5.4584
10.8889	12.4959	0	6.68063
12.1111	12.4959	0	7.90285
13.3333	12.4959	0	9.12507
14.5556	12.4959	0	10.3473
15.7778	12.4959	0	11.5695
17	12.4959	0	12.7917
6	12.7488	0	0.914522
7.22222	12.7488	0	2.13674
8.44444	12.7488	0	3.35897
9.66667	12.7488	0	4.58119
10.8889	12.7488	0	5.80341
12.1111	12.7488	0	7.02563
13.3333	12.7488	0	8.24785
14.5556	12.7488	0	9.47008
15.7778	12.7488	0	10.6923
17	12.7488	0	11.9145
6	13.0018	0	0.00855326
7.22222	13.0018	0	1.23078
8.44444	13.0018	0	2.453
9.66667	13.0018	0	3.67522
10.8889	13.0018	0	4.89744
12.1111	13.0018	0	6.11966
13.3333	13.0018	0	7.34189
14.5556	13.0018	0	8.56411
15.7778	13.0018	0	9.78633
17	13.0018	0	11.0086
6	13.2547	0	-0.921559
7.22222	13.2547	0	0.300663
8.44444	13.2547	0	1.52289
9.66667	13.2547	0	2.74511
10.8889	13.2547	0	3.96733
12.1111	13.2547	0	5.18955
13.3333	13.2547	0	6.41177
14.5556	13.2547	0	7.634
15.7778	13.2547	0	8.85622
17	13.2547	0	10.0784
6	13.5077	0	-1.87173
7.22222	13.5077	0	-0.649508
8.44444	13.5077	0	0.572715
9.66667	13.5077	0	1.79494
10.8889	13.5077	0	3.01716
12.1111	13.5077	0	4.23938
13.3333	13.5077	0	5.4616
14.5556	13.5077	0	6.68383
15.7778	13.5077	0	7.90605
17	13.5077	0	9.12827
6	13.7606	0	-2.83834
7.22222	13.7606	0	-1.61611
8.44444	13.7606	0	-0.393892
9.66667	13.7606	0	0.82833
10.8889	13.7606	0	2.05055
12.1111	13.7606	0	3.27277
13.3333	13.7606	0	4.495
14.5556	13.7606	0	5.71722
15.7778	13.7606	0	6.93944
17	13.7606	0	8.16166
6	14.0136	0	-3.81817
7.22222	14.0136	0	-2.59594
8.44444	14.0136	0	-1.37372
9.66667	14.0136	0	-0.151499
10.8889	14.0136	0	1.07072
12.1111	14.0136	0	2.29295
13.3333	14.0136	0	3.51517
14.5556	14.0136	0	4.73739
15.7778	14.0136	0	5.95961
17	14.0136	0	7.18183
6	14.2665	0	-4.80837
7.22222	14.2665	0	-3.58614
8.44444	14.2665	0	-2.36392
9.66667	14.2665	0	-1.1417
10.8889	14.2665	0	0.0805229
12.1111	14.2665	0	1.30275
13.3333	14.2665	0	2.52497
14.5556	14.2665	0	3.74719
15.7778	14.2665	0	4.96941
17	14.2665	0	6.19163
6	14.5195	0	-5.80641
7.22222	14.5195	0	-4.58419
8.44444	14.5195	0	-3.36197
9.66667	14.5195	0	-2.13974
10.8889	14.5195	0	-0.917521
12.1111	14.5195	0	0.304701
13.3333	14.5195	0	1.52692
14.5556	14.5195	0	2.74915
15.7778	14.5195	0	3.97137
17	14.5195	0	5.19359
6	14.7724	0	-6.81006
7.22222	14.7724	0	-5.58783
8.44444	14.7724	0	-4.36561
9.66667	14.7724	0	-3.14339
10.8889	14.7724	0	-1.92117
12.1111	14.7724	0	-0.698945
13.3333	14.7724	0	0.523278
14.5556	14.7724	0	1.7455
15.7778	14.7724	0	2.96772
17	14.7724	0	4.18994
6	15.0254	0	-7.81731
7.22222	15.0254	0	-6.59509
8.44444	15.0254	0	-5.37287
9.66667	15.0254	0	-4.15065
10.8889	15.0254	0	-2.92843
12.1111	15.0254	0	-1.7062
