gamma	 omPrim	 omMin	 omMax	 probtot
1.99526	8.09332	0.109227	9.08858	0.958021
2.51189	2.19513e-12	9.46373e-14	5.09164e-11	1.80152e+06
2.51189	5.95379e-12	2.56682e-13	1.38099e-10	245800
2.51189	1.61483e-11	6.96192e-13	3.74563e-10	32901.5
2.51189	4.37986e-11	1.88826e-12	1.01592e-09	4617.15
2.51189	1.18794e-10	5.12148e-12	2.75544e-09	626.031
2.51189	3.22201e-10	1.38909e-11	7.47351e-09	84.2275
2.51189	8.73897e-10	3.76758e-11	2.02702e-08	11.835
2.51189	2.37025e-09	1.02187e-10	5.49783e-08	2.20326
2.51189	6.42875e-09	2.77159e-10	1.49116e-07	1.08871
2.51189	1.74365e-08	7.51731e-10	4.04443e-07	1.0242
2.51189	4.72926e-08	2.0389e-09	1.09696e-06	1.02101
2.51189	1.2827e-07	5.53005e-09	2.97525e-06	1.02115
2.51189	3.47905e-07	1.4999e-08	8.06968e-06	1.02119
2.51189	9.43612e-07	4.06814e-08	2.18871e-05	1.02119
2.51189	2.55933e-06	1.10339e-07	5.93627e-05	1.02119
2.51189	6.94161e-06	2.99269e-07	0.000161001	1.02119
2.51189	1.88275e-05	8.11694e-07	0.000436629	1.02119
2.51189	5.10654e-05	2.20151e-06	0.00118389	1.02119
2.51189	0.000138503	5.97087e-06	0.00320833	1.02118
2.51189	0.000375659	1.6193e-05	0.00868206	1.02116
2.51189	0.00101889	4.39082e-05	0.0234036	1.02116
2.51189	0.0027635	0.000119005	0.062438	1.0214
2.51189	0.00749538	0.000322141	0.16215	1.02394
2.51189	0.0203295	0.000869117	0.394329	1.04385
2.51189	0.0551392	0.00232397	0.835314	1.204
2.51189	0.149552	0.00607055	1.42137	0.95346
2.51189	0.405627	0.0149665	1.91751	0.912952
2.51189	1.10017	0.0325568	2.61206	0.930786
2.51189	2.98396	0.0574529	4.49585	0.947144
2.51189	8.09332	0.0800113	9.60521	0.956301
3.16228	2.19513e-12	5.78066e-14	8.33571e-11	1.28966e+06
3.16228	5.95379e-12	1.56787e-13	2.26087e-10	175665
3.16228	1.61483e-11	4.2525e-13	6.1321e-10	23781.5
3.16228	4.37986e-11	1.15339e-12	1.66319e-09	3155.69
3.16228	1.18794e-10	3.12832e-12	4.51103e-09	433.888
3.16228	3.22201e-10	8.48485e-12	1.22352e-08	59.7067
3.16228	8.73897e-10	2.30132e-11	3.31851e-08	8.46442
3.16228	2.37025e-09	6.24182e-11	9.00069e-08	1.81422
3.16228	6.42875e-09	1.69295e-10	2.44123e-07	1.07004
3.16228	1.74365e-08	4.59174e-10	6.62129e-07	1.0255
3.16228	4.72926e-08	1.24541e-09	1.79587e-06	1.02317
3.16228	1.2827e-07	3.37788e-09	4.87089e-06	1.02317
3.16228	3.47905e-07	9.16173e-09	1.32112e-05	1.02317
3.16228	9.43612e-07	2.48491e-08	3.5832e-05	1.02317
3.16228	2.55933e-06	6.73975e-08	9.71842e-05	1.02317
3.16228	6.94161e-06	1.828e-07	0.000263576	1.02317
3.16228	1.88275e-05	4.95802e-07	0.000714785	1.02317
3.16228	5.10654e-05	1.34474e-06	0.00193792	1.02317
3.16228	0.000138503	3.64719e-06	0.00525052	1.02316
3.16228	0.000375659	9.89141e-06	0.0141994	1.02314
3.16228	0.00101889	2.68226e-05	0.0382111	1.02314
3.16228	0.0027635	7.2709e-05	0.101484	1.02358
3.16228	0.00749538	0.000196905	0.260557	1.02779
3.16228	0.0203295	0.000531849	0.617316	1.06051
3.16228	0.0551392	0.00142651	1.24665	1.346
