log(E/eV)	pSyn	eIC	pPP	pPG	totAbs
15.3737	-100	-100	41.4885	41.6463	38.349	41.8754
15.5758	-100	-100	41.3798	41.8198	38.5879	41.9541
15.7778	-100	-100	41.2064	41.9022	38.7673	41.9817
15.9798	-100	-100	40.9544	41.8437	38.8141	41.896
16.1818	-100	-100	40.5994	41.6024	38.7386	41.6429
16.3838	-100	-100	40.1018	41.1217	38.4216	41.1605
16.5859	-100	-100	39.3874	40.2605	37.7046	40.3141
16.7879	-100	-100	38.3344	38.7953	36.5043	38.9227
16.9899	-100	-100	36.7184	36.2816	34.6171	36.8512
17.1919	-100	-100	-100	31.8954	29.8239	31.8917
17.3939	-100	-100	-100	24.0458	22.1233	24.0405
17.596	-100	-100	-100	8.03138	6.30574	8.02313
17.798	-100	-100	-100	-28.9986	-30.5381	-29.0113
18	-100	-100	-100	-46.5381	-48.0208	-46.5527
