log(E/eV)	eSyn	muSy	piSy	eIC	piPP	piPG	totAbs
15.1717	41.7332	-100	-100	35.613	36.3411	38.0258	37.8497
15.3737	41.6217	-100	-100	35.3305	36.5495	38.4692	37.8445
15.5758	41.4637	-100	-100	34.8718	36.7049	38.8277	37.8082
15.7778	41.237	-100	-100	35.8514	36.7628	39.0813	37.7217
15.9798	40.9639	-100	-100	35.5213	36.6341	-100	37.5819
16.1818	40.5464	-100	-100	34.6271	-100	-100	37.3099
16.3838	39.7138	-100	-100	34.2198	-100	-100	36.6408
16.5859	38.6691	-100	-100	32.6999	-100	-100	35.7564
16.7879	-100	-100	-100	-100	-100	-100	-100
16.9899	-100	-100	-100	-100	-100	-100	-100
17.1919	-100	-100	-100	-100	-100	-100	-100
17.3939	-100	-100	-100	-100	-100	-100	-100
17.596	-100	-100	-100	-100	-100	-100	-100
17.798	-100	-100	-100	-100	-100	-100	-100
18	-100	-100	-100	-100	-100	-100	-100
